school,page_type,stage,source_url,priority,need_dynamic,latest_status,latest_http_status,latest_title,latest_final_url,latest_crawled_at,latest_raw_file,latest_content_type,latest_char_count,usable_status,usable_title,usable_final_url,usable_crawled_at,usable_raw_file,usable_content_type,usable_char_count,attempt_count,success_count,last_success_at,raw_file_exists,needs_attention,attention_reason,latest_error
EdUHK,orientation,orientation,https://gs.eduhk.hk/current/student-support/,2,no,success,200.0,"Student Support – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/current/student-support/,2026-06-25T15:29:23+00:00,data/raw_pages/eduhk__orientation__7a7e6b912a.txt,text/html,8415,success,"Student Support – Graduate School, The Education University of Hong Kong",https://gs.eduhk.hk/current/student-support/,2026-06-25T15:29:23+00:00,data/raw_pages/eduhk__orientation__7a7e6b912a.txt,text/html,8415,1,1,2026-06-25T15:29:23+00:00,yes,no,,
HKBU,admitted_student,offer_acceptance,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,1,no,success,200.0,5. After Accepting an Offer -  Important Information | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,2026-06-25T15:28:32+00:00,data/raw_pages/hkbu__admitted_student__9b38df832a.txt,text/html,6163,success,5. After Accepting an Offer -  Important Information | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-important-information,2026-06-25T15:28:32+00:00,data/raw_pages/hkbu__admitted_student__9b38df832a.txt,text/html,6163,1,1,2026-06-25T15:28:32+00:00,yes,no,,
HKBU,registration,registration,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-registration-for-newly-admitted-students,1,no,success,200.0,5. After Accepting an Offer -  Registration for Newly Admitted Students | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-registration-for-newly-admitted-students,2026-06-25T15:28:53+00:00,data/raw_pages/hkbu__registration__03b4acb4cf.txt,text/html,8119,success,5. After Accepting an Offer -  Registration for Newly Admitted Students | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-registration-for-newly-admitted-students,2026-06-25T15:28:53+00:00,data/raw_pages/hkbu__registration__03b4acb4cf.txt,text/html,8119,1,1,2026-06-25T15:28:53+00:00,yes,no,,
HKBU,tuition,payment,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,1,no,success,200.0,Tuition Fees | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,2026-06-25T15:28:52+00:00,data/raw_pages/hkbu__tuition__b26bb7241b.txt,text/html,5136,success,Tuition Fees | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/current-students/academic-requirements/tuition-fees,2026-06-25T15:28:52+00:00,data/raw_pages/hkbu__tuition__b26bb7241b.txt,text/html,5136,1,1,2026-06-25T15:28:52+00:00,yes,no,,
HKBU,visa,visa,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,1,no,success,200.0,5. After Accepting an Offer -  Student Visa Application | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,2026-06-25T15:28:39+00:00,data/raw_pages/hkbu__visa__84ca068b28.txt,text/html,7791,success,5. After Accepting an Offer -  Student Visa Application | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/5-after-accepting-an-offer-student-visa-application,2026-06-25T15:28:39+00:00,data/raw_pages/hkbu__visa__84ca068b28.txt,text/html,7791,1,1,2026-06-25T15:28:39+00:00,yes,no,,
HKBU,accommodation,housing,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,2,no,success,200.0,Non-local Taught Postgraduate Students,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,2026-06-25T15:28:40+00:00,data/raw_pages/hkbu__accommodation__4fcb37f87c.txt,text/html,3807,success,Non-local Taught Postgraduate Students,https://sa.hkbu.edu.hk/en/accm/on-campus-accommodation/apply-for-pg-accommodation/non-local-taught-postgraduate-students.html,2026-06-25T15:28:40+00:00,data/raw_pages/hkbu__accommodation__4fcb37f87c.txt,text/html,3807,1,1,2026-06-25T15:28:40+00:00,yes,no,,
HKBU,faq,general,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2,no,success_dynamic,200.0,After Acceptance of Admission Offer | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29T15:14:03+00:00,data/raw_pages/hkbu__faq__365fce2cee.txt,text/html,31675,success_dynamic,After Acceptance of Admission Offer | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29T15:14:03+00:00,data/raw_pages/hkbu__faq__365fce2cee.txt,text/html,31675,3,3,2026-06-29T15:14:03+00:00,yes,no,,expanded_clicks=27; before_chars=4970; after_visible_chars=16031
HKBU,orientation,orientation,https://ar.hkbu.edu.hk/tpg-studies/current-students/orientation-information,2,no,success,200.0,Orientation Information | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/current-students/orientation-information,2026-06-25T15:28:54+00:00,data/raw_pages/hkbu__orientation__b3008cca05.txt,text/html,6163,success,Orientation Information | HKBU AR,https://ar.hkbu.edu.hk/tpg-studies/current-students/orientation-information,2026-06-25T15:28:54+00:00,data/raw_pages/hkbu__orientation__b3008cca05.txt,text/html,6163,1,1,2026-06-25T15:28:54+00:00,yes,no,,
HKU,accommodation,housing,https://housing.cedars.hku.hk/,1,no,success,200.0,Home - HKU Cedars - Housing,https://housing.cedars.hku.hk/,2026-06-25T15:26:21+00:00,data/raw_pages/hku__accommodation__60671ecd83.txt,text/html,1083,success,Home - HKU Cedars - Housing,https://housing.cedars.hku.hk/,2026-06-25T15:26:21+00:00,data/raw_pages/hku__accommodation__60671ecd83.txt,text/html,1083,1,1,2026-06-25T15:26:21+00:00,yes,no,,
HKU,offer_holder,offer_acceptance,https://admissions.hku.hk/tpg/,1,no,success,200.0,Home,https://portal.hku.hk/tpg-admissions/,2026-06-25T15:25:47+00:00,data/raw_pages/hku__offer_holder__f4446ddc52.txt,text/html,2315,success,Home,https://portal.hku.hk/tpg-admissions/,2026-06-25T15:25:47+00:00,data/raw_pages/hku__offer_holder__f4446ddc52.txt,text/html,2315,1,1,2026-06-25T15:25:47+00:00,yes,no,,
HKU,registration,registration,https://ase.hku.hk/mr/mr_guide.pdf,1,no,success,200.0,mr_guide,https://ase.hku.hk/mr/mr_guide.pdf,2026-06-29T00:31:35+00:00,data/raw_pages/hku__registration__08e6451d08.txt,application/pdf,6198,success,mr_guide,https://ase.hku.hk/mr/mr_guide.pdf,2026-06-29T00:31:35+00:00,data/raw_pages/hku__registration__08e6451d08.txt,application/pdf,6198,2,1,2026-06-29T00:31:35+00:00,yes,no,,
